,game_id,type,result,white_player,black_player,white_elo,black_elo,time_control,num_ply,termination,white_won,black_won,no_winner,move_ply,move,cp,cp_rel,cp_loss,is_blunder_cp,winrate,winrate_elo,winrate_loss,is_blunder_wr,opp_winrate,white_active,active_elo,opponent_elo,active_won,is_capture,clock,opp_clock,clock_percent,opp_clock_percent,low_time,board,active_bishop_count,active_knight_count,active_pawn_count,active_queen_count,active_rook_count,is_check,num_legal_moves,opp_bishop_count,opp_knight_count,opp_pawn_count,opp_queen_count,opp_rook_count,n_pieces
0,WagNiFfQ,Blitz,1/2-1/2,batyko,ahli_blunder,1826,1826,300+0,107,Time forfeit,False,False,True,62,c2c3,-11.69,-11.69,16.84,True,,,,False,,True,1826,1826,False,False,234,44,0.22,0.853,False,8/1B3pk1/p7/2p2KP1/P4P2/3Pb3/2P2r1p/8 w - - 2 32,1,0,5,0,0,0,17,1,0,4,0,1,14
1,WagNiFfQ,Blitz,1/2-1/2,batyko,ahli_blunder,1826,1826,300+0,107,Time forfeit,False,False,True,66,b7d5,-21.82,-21.82,2.39,True,,,,False,,True,1826,1826,False,False,225,33,0.25,0.89,False,8/1B3pk1/p7/2p1K1P1/r7/2PPb3/7p/8 w - - 0 34,1,0,3,0,0,0,15,1,0,4,0,1,12
2,WagNiFfQ,Blitz,1/2-1/2,batyko,ahli_blunder,1826,1826,300+0,107,Time forfeit,False,False,True,67,e3g5,-24.21,24.21,2.36,True,,,,False,,False,1826,1826,False,True,31,225,0.897,0.25,False,8/5pk1/p7/2pBK1P1/r7/2PPb3/7p/8 b - - 1 34,2,0,4,0,1,0,31,1,0,3,0,0,12
3,WagNiFfQ,Blitz,1/2-1/2,batyko,ahli_blunder,1826,1826,300+0,107,Time forfeit,False,False,True,68,c3c4,-21.85,-21.85,inf,True,,,,False,,True,1826,1826,False,False,224,31,0.253,0.897,False,8/5pk1/p7/2pBK1b1/r7/2PP4/7p/8 w - - 0 35,1,0,2,0,0,0,16,1,0,4,0,1,11
4,WagNiFfQ,Blitz,1/2-1/2,batyko,ahli_blunder,1826,1826,300+0,107,Time forfeit,False,False,True,79,e1e5,None,inf,inf,True,,,,False,,False,1826,1826,False,False,23,214,0.923,0.287,True,8/5p2/p1K2k2/2pB4/2P5/3P4/7p/4r1b1 b - - 10 40,2,0,4,0,1,0,26,1,0,2,0,0,11
5,WagNiFfQ,Blitz,1/2-1/2,batyko,ahli_blunder,1826,1826,300+0,107,Time forfeit,False,False,True,80,c6b6,-71.17,-71.17,inf,True,,,,False,,True,1826,1826,False,False,210,23,0.3,0.923,False,8/5p2/p1K2k2/2pBr3/2P5/3P4/7p/6b1 w - - 11 41,1,0,2,0,0,0,12,1,0,4,0,1,11
6,KaYO7aYi,Blitz,1-0,Roskis,Efsungger,1095,919,180+2,75,Time forfeit,True,False,False,69,d5d4,0.0,-0.0,5.4,True,0.5606,0.4574,0.2838,True,0.5606,False,919,1095,False,False,3,93,0.988,0.628,True,7r/1R2R2b/2p2k2/3pp2p/5b2/7B/2P2P2/3K4 b - - 0 35,3,0,4,0,1,0,26,1,0,2,0,2,14
7,KaYO7aYi,Blitz,1-0,Roskis,Efsungger,1095,919,180+2,75,Time forfeit,True,False,False,72,f7g7,5.23,5.23,5.23,True,0.7644,0.6126,0.2038,True,0.2843,True,1095,919,True,False,93,2,0.628,0.992,False,7r/1R3R1b/2p5/4p1kp/3p1b2/7B/2P2P2/3K4 w - - 2 37,1,0,2,0,2,0,32,2,0,4,0,1,14
8,y02F9Zen,Blitz,1-0,RomaL1331,SIIPPY,1334,1286,180+2,75,Normal,True,False,False,67,f5f4,9.19,-9.19,49.75,True,0.1789,0.1954,,False,0.8451,False,1286,1334,False,False,14,10,0.944,0.96,True,8/p6p/4k3/4pp2/8/1Pp1K1P1/P1P4P/3R4 b - - 1 34,1,0,5,0,0,0,9,0,0,5,0,1,13
9,y02F9Zen,Blitz,1-0,RomaL1331,SIIPPY,1334,1286,180+2,75,Normal,True,False,False,68,g3f4,58.94,58.94,39.36,True,,,,False,,True,1334,1286,True,True,11,14,0.956,0.944,True,8/p6p/4k3/4p3/5p2/1Pp1K1P1/P1P4P/3R4 w - - 0 35,0,0,5,0,1,1,6,0,0,5,0,0,13
10,y02F9Zen,Blitz,1-0,RomaL1331,SIIPPY,1334,1286,180+2,75,Normal,True,False,False,69,e5f4,19.58,-19.58,51.94,True,,,,False,,False,1286,1334,False,True,14,11,0.944,0.956,True,8/p6p/4k3/4p3/5P2/1Pp1K3/P1P4P/3R4 b - - 0 35,1,0,4,0,0,0,10,0,0,5,0,1,12
11,y02F9Zen,Blitz,1-0,RomaL1331,SIIPPY,1334,1286,180+2,75,Normal,True,False,False,71,e6f6,69.86,-69.86,inf,True,,,,False,,False,1286,1334,False,False,15,13,0.94,0.948,True,8/p6p/4k3/8/5K2/1Pp5/P1P4P/3R4 b - - 0 36,1,0,3,0,0,0,7,0,0,4,0,1,10
12,y02F9Zen,Blitz,1-0,RomaL1331,SIIPPY,1334,1286,180+2,75,Normal,True,False,False,72,d1d3,None,inf,inf,True,,,,False,,True,1334,1286,True,False,14,15,0.944,0.94,True,8/p6p/5k2/8/5K2/1Pp5/P1P4P/3R4 w - - 1 37,0,0,4,0,1,0,24,0,0,3,0,0,10
13,y02F9Zen,Blitz,1-0,RomaL1331,SIIPPY,1334,1286,180+2,75,Normal,True,False,False,73,f6g6,68.4,-68.4,inf,True,,,,False,,False,1286,1334,False,False,15,14,0.94,0.944,True,8/p6p/5k2/8/5K2/1PpR4/P1P4P/8 b - - 2 37,1,0,3,0,0,0,9,0,0,4,0,1,10
14,rMi874dQ,Rapid,1-0,Metal__Mercenary,paulcheno,1726,1713,600+0,89,Normal,True,False,False,85,h3c3,-1.77,1.77,inf,True,0.6643,0.6072,,False,0.4057,False,1713,1726,False,False,413,506,0.312,0.157,False,6k1/p6p/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,1,0,4,0,1,0,16,1,0,5,0,0,13
15,soN3if8x,Rapid,0-1,OASIS1989,Sinoptik90,1834,1836,600+0,84,Normal,False,True,False,82,d7f6,-11.03,-11.03,inf,True,,,,False,,True,1834,1836,False,False,85,148,0.858,0.753,False,6k1/p2N3p/2pR2p1/5p2/1P5P/6K1/4p3/2r2b2 w - - 0 42,0,1,2,0,1,0,21,1,0,6,0,1,14
16,wCmJh8bz,Bullet,0-1,Anomolys,gulerale,1479,1486,60+0,84,Time forfeit,False,True,False,60,e8g8,3.69,3.69,7.5,True,0.7182,0.6283,0.3879,True,0.3371,True,1479,1486,False,False,12,22,0.8,0.633,True,4R3/1p2R2p/p4nk1/2pP4/2r5/2P5/P4P2/2K5 w - - 6 31,0,0,4,0,2,0,29,0,1,4,0,1,14
17,wCmJh8bz,Bullet,0-1,Anomolys,gulerale,1479,1486,60+0,84,Time forfeit,False,True,False,61,g6h6,-3.81,3.81,9.79,True,0.7258,0.6354,0.4622,True,0.3302,False,1486,1479,True,False,21,12,0.65,0.8,True,6R1/1p2R2p/p4nk1/2pP4/2r5/2P5/P4P2/2K5 b - - 7 31,1,1,4,0,1,1,4,0,0,4,0,2,14
18,wCmJh8bz,Bullet,0-1,Anomolys,gulerale,1479,1486,60+0,84,Time forfeit,False,True,False,64,c1d1,5.65,5.65,8.29,True,0.7749,0.6937,0.4059,True,0.2717,True,1479,1486,False,False,8,20,0.867,0.667,True,6R1/1p2R2p/p2P1n1k/2p5/8/2r5/P4P2/2K5 w - - 0 33,0,0,3,0,2,1,4,0,1,4,0,1,13
19,wCmJh8bz,Bullet,0-1,Anomolys,gulerale,1479,1486,60+0,84,Time forfeit,False,True,False,65,c3d3,-2.64,2.64,3.52,True,0.6926,0.5979,0.2337,True,0.369,False,1486,1479,True,False,19,8,0.683,0.867,True,6R1/1p2R2p/p2P1n1k/2p5/8/2r5/P4P2/3K4 b - - 1 33,1,1,4,0,1,0,22,0,0,3,0,2,13
20,wCmJh8bz,Bullet,0-1,Anomolys,gulerale,1479,1486,60+0,84,Time forfeit,False,True,False,67,d3d4,0.82,-0.82,10.99,True,0.459,0.3761,,False,0.6154,False,1486,1479,True,False,18,7,0.7,0.883,True,6R1/1p2R2p/p2P1n1k/2p5/8/3r4/P1K2P2/8 b - - 3 34,1,1,4,0,1,0,24,0,0,3,0,2,13
