,fen,lik
0,6k1/p6p/6p1/2K2PP1/1P2P2P/7r/8/8 b - - 2 43,0.048489715096652175
1,6k1/p7/6p1/2K1BPP1/1P2P3/7P/8/8 b - - 2 43,0.0
2,6k1/1p5p/2p2p2/2K3P1/4PP2/1P5r/8/8 b - - 2 43,0.07306121869825913
3,6k1/1p5p/2p4p/2K3P1/1P2P2P/7r/8/8 b - - 2 43,0.06469283514316394
4,6k1/p6p/6p1/2K1B1P1/1P3P2/7r/8/8 b - - 2 43,7.361508826468882e-07
5,6k1/p6p/2p3p1/2K1B1P1/1P2PP2/7r/8/8 b - - 2 43,3.736427062350368e-06
6,6k1/p6p/2p3p1/2K1B1P1/1P2PP1P/8/8/8 b - - 2 43,0.0
7,8/p5kp/2p5/2K1B1PP/1P2P3/7r/8/8 b - - 2 43,0.0
8,6k1/p1p4p/6p1/2K1B1P1/1P3P1P/7r/8/8 b - - 2 43,1.0411481848987216e-06
9,6k1/p6p/6p1/2K1B1P1/4PP1P/8/8/8 b - - 2 43,0.0
10,6k1/6p1/2p5/2KB2P1/1P1P1P1r/8/8/8 b - - 2 43,0.0
11,6k1/6p1/p5p1/2K1B3/2P1P3/7r/8/8 b - - 2 43,8.544725908884657e-07
12,6k1/7p/2p5/4B1P1/1PK4P/7r/8/8 b - - 2 43,9.697711753934398e-07
13,6k1/p7/2p3p1/2KB1PP1/5P1P/8/8/8 b - - 2 43,0.0
14,8/p5kp/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,0.0
15,6k1/p6p/8/2K1B1P1/7P/8/8/8 b - - 2 43,0.0
16,6k1/7p/7p/2K1B1P1/1P2PP2/7r/8/8 b - - 2 43,0.000371703705748958
17,6k1/p6p/2p4p/2K1B1P1/1P2P2P/6r1/8/8 b - - 2 43,0.0
18,6k1/p5p1/6p1/2K1B1PP/1P2P1P1/7r/8/8 b - - 2 43,2.2051942539979123e-05
19,6k1/p7/2p1B1p1/2K3P1/4PP1P/1P5r/8/8 b - - 2 43,0.0
20,5k2/p6p/2p3p1/2K3P1/1P5P/7r/8/8 b - - 2 43,0.0914914419753013
21,6k1/p7/2p3pp/2K1B1PP/1P2P3/5P1r/8/8 b - - 2 43,0.0
22,6k1/7p/2p5/2K5/4PP1P/7r/8/8 b - - 2 43,0.03571440788830199
23,6k1/p7/2p5/2K1B2P/1P2PPP1/7r/8/8 b - - 2 43,0.0030535041936466086
24,6k1/p6p/8/2K1B1P1/2P2P1P/7r/8/8 b - - 2 43,0.00015093109954046139
25,6k1/p6p/2p3p1/2K5/1P2P2P/7r/8/8 b - - 2 43,0.09283486226939863
26,6k1/p6p/8/2K1B3/1P2P2P/7r/8/8 b - - 2 43,7.897781380444089e-07
27,6k1/8/2p3p1/2K1B1P1/1P2P2P/5P1r/8/8 b - - 2 43,0.0
28,6k1/p7/2p3p1/2K1B3/1P3P1P/7r/8/8 b - - 2 43,1.1102808869008722e-06
29,6k1/p6p/8/2K1B3/1P2P1PP/8/8/8 b - - 2 43,0.0
30,6k1/p5p1/2p3p1/4B1P1/1PK1PP1P/7r/8/8 b - - 2 43,6.69613663495475e-06
31,6k1/p5p1/2p5/2KB2P1/P3PP2/7r/8/8 b - - 2 43,0.0
32,6k1/p6p/2p3Pp/1PK1B2P/4PP2/7r/8/8 b - - 2 43,3.940287160110895e-05
33,6k1/p6p/2p3p1/2K3P1/1P5P/5P1r/8/8 b - - 2 43,0.0
34,7k/1p5p/2p3p1/1PK1B1P1/3P1P1P/7r/8/8 b - - 2 43,0.0
35,6k1/6p1/2K5/4B2P/1P2P3/7r/8/8 b - - 2 43,0.00018532870713985073
36,6k1/7p/8/2K4P/P3PP1P/7r/8/8 b - - 2 43,0.013422676638295872
37,8/p5kp/6p1/2K1B3/1P1P1P2/8/8/8 b - - 2 43,0.0
38,5k2/p6p/2p5/2K1B1PP/1P3P2/4P2r/8/8 b - - 2 43,0.0
39,6k1/p6p/2p5/2K1B1PP/1P3P2/4P2r/8/8 b - - 2 43,0.0
40,6k1/p6p/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,1.1044173956150259e-05
41,6k1/p6p/2p2p2/2K1B1P1/4PP1P/7r/8/8 b - - 2 43,1.2805096102729575e-07
42,6k1/7p/2K3p1/8/1P2PPP1/6r1/8/8 b - - 2 43,0.0
43,6k1/p6p/2p3p1/2K1B3/2P1PP2/8/8/8 b - - 2 43,0.0
44,6k1/p6p/2p3p1/4B1P1/1PK1PP1P/7r/8/8 b - - 2 43,3.7570217228331437e-06
45,6k1/p6p/2p5/2K1B1P1/4PP1P/8/7r/8 b - - 2 43,0.0
46,6k1/7p/6p1/2K1B1P1/1P2P3/7P/8/8 b - - 2 43,0.0
47,6k1/p6p/6p1/3KB1P1/4PPP1/8/7r/8 b - - 2 43,0.0
48,6k1/7p/6p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,0.009716070410818692
49,6k1/p5pp/2p5/1PK1BP2/4PP1P/8/7r/8 b - - 2 43,0.0
50,6k1/p7/2p3p1/2KB2P1/1P2P2P/7r/8/8 b - - 2 43,0.0
51,6k1/p7/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,5.9266819567209005e-05
52,6k1/p6p/2p3p1/4B1P1/1PK2P1P/4P2r/8/8 b - - 2 43,0.0
53,6k1/p7/2p5/2K1BP2/1P2PP1P/7r/8/8 b - - 2 43,0.0017381540803578523
54,6k1/8/p1p3p1/2K1B1P1/7P/1P2P2r/8/8 b - - 2 43,0.0
55,6k1/p6p/6p1/1K2B3/1P2PPP1/7r/8/8 b - - 2 43,6.427013594431116e-06
56,5k2/p5pp/8/2K1B1P1/1P2P2P/8/8/8 b - - 2 43,0.0
57,6k1/p6p/2p3p1/2K2P2/1P2PP1P/8/8/8 b - - 2 43,0.0
58,6k1/8/6p1/2K3P1/1P2PP1P/7r/8/8 b - - 2 43,0.09494051429354329
59,6k1/p6p/2p5/2K2Pp1/1P1P2PP/7r/8/8 b - - 2 43,0.18728341553858943
60,6k1/7p/2p5/2K1B1P1/2P1P2P/7r/8/8 b - - 2 43,1.8008438371057307e-05
61,8/p5kp/2p3p1/2KB2P1/4PP1P/1P5r/8/8 b - - 2 43,0.013800129965139823
62,6k1/p6p/2p3p1/2K1B1P1/1P2PP1r/8/8/8 b - - 2 43,0.0
63,6k1/p6p/2p3p1/2KB4/3P3P/7r/8/8 b - - 2 43,0.0
64,6k1/p6p/2p1B1p1/2K3P1/1P2PP1P/7r/8/8 b - - 2 43,0.0
65,6k1/7p/6p1/2K1BPP1/1P2P2P/7r/8/8 b - - 2 43,0.0006089629545598902
66,6k1/p6p/6p1/2K1B1P1/4PP1P/8/8/8 b - - 2 43,0.0
67,6k1/p6p/2p5/2K5/1P2PP1P/8/8/8 b - - 2 43,0.0
68,6k1/6p1/p2p2p1/3KBP2/5P1P/7r/8/8 b - - 2 43,2.754616757844059e-07
69,6k1/p6p/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,1.1044173956150259e-05
70,6k1/p6p/6p1/2K3P1/1P3P1P/7r/8/8 b - - 2 43,0.0826003228384769
71,6k1/7p/6p1/2KB2P1/1P5P/8/7r/8 b - - 2 43,0.0
72,7k/7p/p1p3p1/2K3P1/5P1P/7r/8/8 b - - 2 43,0.08115133890293386
73,6k1/p6p/2p3p1/2KB2P1/4PP1P/6r1/8/8 b - - 2 43,0.0
74,6k1/p6p/2p3p1/2K1B1P1/1P2P2P/8/8/8 b - - 2 43,0.0
75,6k1/2p4p/6p1/1K2B3/4PP1P/7r/8/8 b - - 2 43,2.626973985843599e-07
76,6k1/p5p1/2p3p1/2K1BPP1/5P1P/1P6/8/8 b - - 2 43,0.0
77,8/p5k1/2p3p1/2K1B3/1P2PP1P/7r/8/8 b - - 2 43,0.0
78,6k1/1p5p/6p1/2K2PP1/2P1P3/7r/8/8 b - - 2 43,0.061689695966799456
79,6k1/7p/p1p3p1/2K3P1/1P2PP1P/7r/8/8 b - - 2 43,0.06163364105629314
80,6k1/p6p/2p3p1/2K1BPP1/1P6/7r/8/8 b - - 2 43,4.246091451920181e-07
81,6k1/p6p/8/2p1B3/1PK1P2P/7r/8/8 b - - 2 43,4.7480313232995287e-07
82,6k1/p6p/6p1/1K2B1P1/1P2PP1P/7r/8/8 b - - 2 43,2.6294442205217565e-05
83,8/p5kp/2p3p1/2K1B3/1P2P1P1/7r/8/8 b - - 2 43,0.0
84,6k1/1pp4p/6p1/2K3P1/2P1PP1P/7r/8/8 b - - 2 43,0.05736473562253962
85,6k1/p6p/2p3p1/2KB2P1/1P3P1P/7r/8/8 b - - 2 43,0.0
86,6k1/7p/p1p5/4B1P1/1PK1P2P/5P2/7r/8 b - - 2 43,0.0
87,6k1/p5p1/2p3p1/2K3P1/1P3P2/7r/8/8 b - - 2 43,0.09222725470635057
88,6k1/7p/2p3p1/2K1B1P1/1P3P2/7r/8/8 b - - 2 43,2.641507661627541e-05
89,6k1/p1p3p1/6p1/2K1B3/4PPPP/7r/8/8 b - - 2 43,5.287444595610284e-07
90,6k1/p6p/6p1/2K3P1/1P2PPP1/6r1/8/8 b - - 2 43,0.0
91,6k1/2p4p/8/2K1B1p1/1P5P/8/7r/8 b - - 2 43,0.0
92,6k1/p5p1/2p3P1/2K1B3/P4P1P/7r/8/8 b - - 2 43,1.5385539789788584e-05
93,6k1/8/p1p5/2K1B3/1P2PPP1/7r/8/8 b - - 2 43,0.0010227346749622308
94,6k1/1p5p/2p5/2K2BP1/4P2P/5P1r/8/8 b - - 2 43,0.0
95,6k1/1p6/6p1/2K1B1P1/4PP1P/7r/8/8 b - - 2 43,1.4374078046319773e-05
96,6k1/p6p/2p3p1/2K3P1/4PP2/8/8/8 b - - 2 43,0.0
97,5k2/8/6p1/2K1B1P1/5PP1/1P6/8/8 b - - 2 43,0.0
98,6k1/8/6p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,0.009966215347088938
99,6k1/p6p/2p3p1/2K2BP1/1P2P1P1/8/8/8 b - - 2 43,0.0
100,7k/p6p/2p3p1/2K5/1P2PPPP/8/7r/8 b - - 2 43,0.0
101,6k1/p6p/2p3p1/2K1B1P1/1P2P2P/5P1r/8/8 b - - 2 43,0.0
102,8/p5kp/2p3p1/8/1PK1PP1P/7r/8/8 b - - 2 43,3.5105031971304225e-06
103,6k1/p7/2p3p1/2K1BP2/1P5P/7r/8/8 b - - 2 43,1.589970055257868e-06
104,6k1/p7/2p5/2K1B1P1/4PP1P/8/7r/8 b - - 2 43,0.0
105,8/6k1/p1p5/2K1B1P1/4PP2/7r/8/8 b - - 2 43,0.0
106,6k1/7p/2p5/2K1B3/1P2P2P/5P1r/8/8 b - - 2 43,0.0
107,6k1/6p1/8/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,0.00930583642702146
108,7k/p6p/2p5/2K3P1/1P3P1P/7r/8/8 b - - 2 43,0.0515187808288525
109,6k1/p7/2p3p1/2K1B1P1/1P2P1P1/7r/8/8 b - - 2 43,2.8002672054826792e-06
110,6k1/2p4p/6p1/2K3P1/4P1P1/7r/8/8 b - - 2 43,0.09822309352634825
111,6k1/p6p/2p3p1/2K5/1P2PP2/7r/8/8 b - - 2 43,0.08489515901931532
112,7k/8/6p1/2K1B3/1P2PP1P/7r/8/8 b - - 2 43,0.0
113,6k1/p6p/2p3p1/2K5/1P2PP1P/7r/8/8 b - - 2 43,0.06607617329607916
114,6k1/7p/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,0.0007682377018171543
115,5k2/8/2p3p1/2K1B1P1/1P2P2P/7r/8/8 b - - 2 43,0.0002047482743158841
116,5k2/p6p/6p1/3K2P1/1P2PP1P/7r/8/8 b - - 2 43,0.08683150785502948
117,6k1/p6p/6p1/2K2BP1/7P/8/7r/8 b - - 2 43,0.0
118,6k1/7p/2p3p1/2K3P1/1P2PP2/7P/8/8 b - - 2 43,0.0
119,6k1/p6p/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,1.1044173956150259e-05
120,6k1/p6p/2p1B1p1/2K3P1/1P3P1r/8/8/8 b - - 2 43,0.0
121,6k1/8/p1p3p1/2K1B1P1/1P2P1Pr/8/8/8 b - - 2 43,0.0
122,6k1/6pp/2p5/2K1B1P1/1P2PPP1/8/7r/8 b - - 2 43,0.0
123,5k2/1p5p/2p3p1/2K1B3/1P2PP2/8/8/8 b - - 2 43,0.0
124,6k1/p6p/2p5/2K5/4PP1P/7r/8/8 b - - 2 43,0.07355995746318522
125,6k1/p6p/2p5/2K3P1/4PP1P/8/8/8 b - - 2 43,0.0
126,6k1/p6p/2p4p/2K5/1P1P1P1P/7r/8/8 b - - 2 43,0.15231700351013133
127,6k1/p6p/2p5/2K1B1P1/1P3P1P/6r1/8/8 b - - 2 43,0.0
128,6k1/p7/8/2K1B1P1/1P3P1P/7r/8/8 b - - 2 43,0.00028760354714132925
129,6k1/p7/2p3p1/2K1B3/1P2P2r/8/8/8 b - - 2 43,0.0
130,6k1/p7/2p3p1/2K3P1/2P1PP1P/8/7r/8 b - - 2 43,0.0
131,6k1/p6p/2p5/2K3P1/1P2PP1P/7r/8/8 b - - 2 43,0.06515871624043341
132,6k1/7p/2p3p1/2KB4/1P3P2/7r/8/8 b - - 2 43,0.0
133,7k/p7/2p1B1p1/2K3P1/7P/4P2r/8/8 b - - 2 43,0.0
134,6k1/p6p/2p3p1/2K1B1P1/4PP2/7r/8/8 b - - 2 43,1.0640765379365455e-07
135,6k1/7p/p6p/2K2PPP/P7/6r1/8/8 b - - 2 43,0.0
136,6k1/p5pp/2p5/2K2BP1/1P2PP1P/8/8/8 b - - 2 43,0.0
137,6k1/p6p/5p2/2K1BP2/1P2PP1P/7r/8/8 b - - 2 43,1.090758299418632e-06
138,6k1/p6p/2p5/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,0.00019501049467736175
139,6k1/p6p/2p3p1/2K3P1/1P3P1P/8/8/8 b - - 2 43,0.0
140,8/p5k1/2p3p1/2K1B2P/4PP1P/6r1/8/8 b - - 2 43,0.0
